model,rounds,accepted_intents,intents_per_round,intent_distribution_json,intent_distribution_pct_json,style_distribution_json,fire_policy_distribution_json,fire_policy_distribution_pct_json,distance_policy_distribution_json,distance_policy_distribution_pct_json,movement_bias_distribution_json,movement_bias_distribution_pct_json,los_recovery_behavior_json,stuck_recovery_behavior_json,actual_stuck_recovery_started_events,autopilot_reason_distribution_json,turn_policy_distribution_json,navigation_target_distribution_json,fire_mode_distribution_json,strafe_direction_distribution_json,replan_if_distribution_json,replan_if_field_recorded,replan_if_note
gpt-5-3-codex,60,94,1.567,"{""engage_opponent"":83,""search"":1,""strafe_attack"":10}","{""engage_opponent"":0.883,""search"":0.0106,""strafe_attack"":0.1064}","{""aggressive"":19,""balanced"":73,""evasive"":2}","{""burst_when_aligned"":2,""hold_fire"":1,""only_when_aligned"":82,""suppressive"":9}","{""burst_when_aligned"":0.0213,""hold_fire"":0.0106,""only_when_aligned"":0.8723,""suppressive"":0.0957}","{""close"":83,""kite"":3,""maintain"":8}","{""close"":0.883,""kite"":0.0319,""maintain"":0.0851}","{""circle"":6,""direct"":84,""evasive"":4}","{""circle"":0.0638,""direct"":0.8936,""evasive"":0.0426}","{""advance_last_seen"":41,""sweep"":53}","{""back_up"":2,""default"":14,""strafe_out"":77,""turn_right"":1}",122,"{""engage_opponent"":2698,""movement_primitive"":11,""search"":5,""strafe_attack"":52,""stuck_burst_cooldown_search"":19,""stuck_recovery"":176}","{""face_last_seen"":1,""turn_to_enemy"":93}","{""keep_distance"":3,""last_seen_enemy"":1,""opponent"":90}","{""burst"":2,""fire_when_aligned"":82,""hold_fire"":1,""suppressive"":9}","{""alternate"":85,""right"":1,""switch_if_hit"":8}",{},False,UNKNOWN_NOT_RECORDED_IN_STATS_CALLS
gpt-5-3-codex-spark,60,329,5.483,"{""engage_opponent"":188,""hold"":1,""search"":39,""strafe_attack"":101}","{""engage_opponent"":0.5714,""hold"":0.003,""search"":0.1185,""strafe_attack"":0.307}","{""aggressive"":61,""balanced"":213,""evasive"":55}","{""burst_when_aligned"":43,""hold_fire"":43,""only_when_aligned"":185,""suppressive"":58}","{""burst_when_aligned"":0.1307,""hold_fire"":0.1307,""only_when_aligned"":0.5623,""suppressive"":0.1763}","{""close"":185,""kite"":54,""maintain"":90}","{""close"":0.5623,""kite"":0.1641,""maintain"":0.2736}","{""cautious"":1,""circle"":55,""direct"":220,""evasive"":53}","{""cautious"":0.003,""circle"":0.1672,""direct"":0.6687,""evasive"":0.1611}","{""advance_last_seen"":23,""sweep"":267,""turn_left"":22,""turn_right"":17}","{""back_up"":4,""default"":23,""strafe_out"":280,""turn_left"":13,""turn_right"":9}",227,"{""engage_opponent"":1982,""movement_primitive"":1,""search"":142,""strafe_attack"":558,""stuck_burst_cooldown_search"":32,""stuck_recovery"":330}","{""auto"":2,""face_last_seen"":9,""sweep_left"":2,""sweep_right"":2,""turn_to_enemy"":314}","{""keep_distance"":9,""last_seen_enemy"":39,""opponent"":281}","{""auto"":6,""burst"":25,""fire_when_aligned"":200,""hold_fire"":42,""single_shot"":1,""suppressive"":55}","{""alternate"":238,""auto"":46,""left"":25,""right"":12,""switch_if_hit"":8}",{},False,UNKNOWN_NOT_RECORDED_IN_STATS_CALLS
gpt-5-4-mini,60,180,3.0,"{""engage_opponent"":111,""search"":33,""strafe_attack"":36}","{""engage_opponent"":0.6167,""search"":0.1833,""strafe_attack"":0.2}","{""aggressive"":33,""balanced"":144,""evasive"":3}","{""burst_when_aligned"":4,""hold_fire"":33,""only_when_aligned"":114,""suppressive"":29}","{""burst_when_aligned"":0.0222,""hold_fire"":0.1833,""only_when_aligned"":0.6333,""suppressive"":0.1611}","{""close"":111,""kite"":3,""maintain"":66}","{""close"":0.6167,""kite"":0.0167,""maintain"":0.3667}","{""circle"":32,""direct"":144,""evasive"":4}","{""circle"":0.1778,""direct"":0.8,""evasive"":0.0222}","{""advance_last_seen"":58,""sweep"":122}","{""strafe_out"":180}",227,"{""engage_opponent"":2496,""movement_primitive"":10,""search"":385,""strafe_attack"":120,""stuck_burst_cooldown_search"":27,""stuck_recovery"":273}","{""face_last_seen"":28,""sweep_left"":1,""sweep_right"":1,""turn_to_enemy"":150}","{""last_seen_enemy"":33,""opponent"":147}","{""burst"":4,""fire_when_aligned"":114,""hold_fire"":33,""suppressive"":29}","{""alternate"":130,""auto"":18,""hold_direction"":24,""left"":2,""right"":3,""switch_if_hit"":3}",{},False,UNKNOWN_NOT_RECORDED_IN_STATS_CALLS
gpt-5-5,60,150,2.5,"{""engage_opponent"":55,""search"":41,""strafe_attack"":54}","{""engage_opponent"":0.3667,""search"":0.2733,""strafe_attack"":0.36}","{""aggressive"":39,""balanced"":73,""cautious"":6,""evasive"":32}","{""burst_when_aligned"":12,""hold_fire"":41,""only_when_aligned"":56,""suppressive"":41}","{""burst_when_aligned"":0.08,""hold_fire"":0.2733,""only_when_aligned"":0.3733,""suppressive"":0.2733}","{""close"":56,""kite"":38,""maintain"":56}","{""close"":0.3733,""kite"":0.2533,""maintain"":0.3733}","{""cautious"":4,""circle"":35,""direct"":74,""evasive"":37}","{""cautious"":0.0267,""circle"":0.2333,""direct"":0.4933,""evasive"":0.2467}","{""advance_last_seen"":77,""hold_angle"":2,""sweep"":57,""turn_left"":7,""turn_right"":7}","{""back_up"":14,""strafe_out"":120,""turn_left"":8,""turn_right"":8}",517,"{""engage_opponent"":1899,""movement_primitive"":472,""search"":885,""strafe_attack"":452,""stuck_burst_cooldown_search"":106,""stuck_recovery"":737}","{""face_last_seen"":25,""sweep_left"":8,""sweep_right"":13,""turn_to_enemy"":104}","{""center"":5,""keep_distance"":22,""last_seen_enemy"":24,""left_lane"":4,""opponent"":89,""right_lane"":6}","{""burst"":12,""fire_when_aligned"":56,""hold_fire"":41,""suppressive"":41}","{""alternate"":91,""auto"":1,""left"":11,""right"":15,""switch_if_hit"":32}",{},False,UNKNOWN_NOT_RECORDED_IN_STATS_CALLS
